,Id,Locality,Type,SubType,Sale_Type,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool,Muniplicity,Region
11265,20124400,Dison,Other,offices,Private,220000,0,249,0,0,0,0,0,0,0,249,0,To renovate,0,0,Luik,Wallonia
11266,20124391,Overijse,House,house,Private,430000,3,180,0,0,0,1,20,1,50,250,511,To renovate,4,0,Vlaams-Brabant,Brussel
11267,20124384,Butgenbach,Other,office-block,Private,325000,0,373,0,0,0,0,0,0,0,373,0,Not Known,0,0,Luik,Wallonia
11268,20124053,Elsene,Apartment,apartment,Private,545000,4,202,0,0,0,1,12,0,0,214,0,To renovate,3,1,Brussel,Falnders
11269,20123946,Halle,Apartment,ground-floor,Private,465000,3,156,1,0,0,1,32,1,100,288,0,Not Known,3,0,Vlaams-Brabant,Brussel
11270,20123946,Halle,Apartment,ground-floor,Private,465000,3,156,1,0,0,1,32,1,100,288,0,Not Known,3,0,Antwerpen,Falnders
11271,20123637,Aubange,House,house,Private,425000,4,159,0,0,0,1,18,0,0,177,381,Good,3,0,Luxemburg,Brussel
11272,20123623,Anderlecht,House,house,Private,469000,3,213,1,0,0,1,7,1,33,253,33,As new,2,1,Brussel,Falnders
11273,20123523,Watermaal-bosvoorde,Apartment,apartment,Private,760000,3,214,1,0,0,1,0,0,0,214,0,As new,3,1,Brussel,Falnders
11274,20123413,Schaarbeek,House,house,Private,440000,4,196,1,0,0,0,0,1,50,246,120,Good,2,1,Brussel,Falnders
11275,20123217,Bellevaux-Ligneuville,House,house,Private,370000,3,325,0,0,0,1,0,0,0,325,0,Not Known,0,0,Luik,Wallonia
11276,20123154,Cerfontaine,House,house,Private,135000,2,60,0,0,0,0,0,0,0,60,0,Good,2,0,Namen,Brussel
11277,20123152,Elsene,Apartment,apartment,Private,525000,4,125,0,0,0,1,10,0,0,135,0,To renovate,4,1,Brussel,Falnders
11278,20123105,Montegnée,Apartment,apartment,Private,168651,1,53,1,0,0,1,7,0,0,60,0,As new,2,0,Luik,Wallonia
11279,20123104,Montegnée,Apartment,apartment,Private,179627,2,65,1,0,0,1,14,0,0,79,0,As new,2,0,Luik,Wallonia
11280,20123103,Montegnée,Apartment,apartment,Private,178137,1,60,1,0,0,1,31,0,0,91,0,As new,2,0,Luik,Wallonia
11281,20123102,Montegnée,Apartment,apartment,Private,215303,2,80,1,0,0,1,41,0,0,121,0,As new,2,0,Luik,Wallonia
11282,20123101,Montegnée,Apartment,apartment,Private,209682,2,78,1,0,0,1,34,0,0,112,0,As new,2,0,Luik,Wallonia
11283,20123100,Montegnée,Apartment,apartment,Private,168651,1,54,1,0,0,1,14,0,0,68,0,As new,2,0,Luik,Wallonia
11284,20123099,Montegnée,Apartment,apartment,Private,204303,2,80,1,0,0,1,5,0,0,85,0,As new,2,0,Luik,Wallonia
11285,20122601,Zelzate,House,house,Private,329000,5,162,1,0,0,1,54,1,180,396,357,Good,2,0,Oost-Vlaanderen,Brussel
11286,20122589,Bierset,House,town-house,Private,275000,3,110,1,0,0,1,40,1,230,380,372,As new,2,1,Luik,Wallonia
11287,20122493,Schaarbeek,Apartment,apartment,Private,210000,1,84,0,0,0,1,0,0,0,84,0,To renovate,2,1,Brussel,Falnders
11288,20122418,Kortrijk,Other,office-block,Private,135000,0,77,0,0,0,0,0,0,0,77,77,Not Known,2,0,West-Vlaanderen,Wallonia
11289,20122032,Herent,House,mansion,Private,825000,11,669,1,0,0,1,0,0,0,669,799,To be done up,2,0,Vlaams-Brabant,Brussel
11290,20122024,Harelbeke,House,house,Private,289000,4,198,0,0,0,1,0,0,0,198,87,Just renovated,0,0,West-Vlaanderen,Wallonia
11291,20122008,Astene,Apartment,apartment,Private,395000,3,90,0,0,0,1,45,0,0,135,0,Good,2,0,Oost-Vlaanderen,Brussel
11292,20121787,Knokke,Apartment,apartment,Private,535000,2,103,0,0,0,1,0,0,0,103,0,Good,0,0,West-Vlaanderen,Wallonia
11293,20121785,Aalst,House,house,Private,299000,3,186,1,0,0,1,0,0,0,186,80,Just renovated,0,0,Limburg,Falnders
11294,20121785,Aalst,House,house,Private,299000,3,186,1,0,0,1,0,0,0,186,80,Just renovated,0,0,Oost-Vlaanderen,Brussel
11295,20121685,Blaugies,House,house,Private,110000,2,170,0,0,0,0,0,0,0,170,350,To renovate,2,0,Henegouwen,Falnders
11296,20121636,Bonlez,Other,farmhouse,Private,449000,4,198,1,0,0,1,10,1,160,368,836,To be done up,4,1,Waals-Brabant,Wallonia
11297,20121588,Blankenberge,Apartment,flat-studio,Private,189000,0,37,1,1,0,1,0,0,0,37,0,Good,2,0,West-Vlaanderen,Wallonia
11298,20121529,Arville,House,house,Private,190000,2,137,1,0,0,1,0,1,268,405,268,Good,2,0,Luxemburg,Brussel
11299,20121260,Pommeroeul,House,house,Private,160000,3,115,1,0,0,0,0,0,0,115,634,Good,3,0,Henegouwen,Falnders
11300,20121018,Sint-Joost-ten-Node,Apartment,apartment,Private,225000,2,80,1,0,0,1,5,0,0,85,0,Good,3,1,Brussel,Falnders
11301,20121017,Ans,House,house,Private,149900,3,82,1,1,0,1,12,1,70,164,140,Good,3,0,Luik,Wallonia
11302,20120974,Braine-l'alleud,Other,offices,Private,150000,0,85,0,0,0,0,0,0,0,85,0,Good,3,0,Waals-Brabant,Wallonia
11303,20120762,Vorst,Apartment,apartment,Private,440000,2,100,1,0,0,1,10,0,0,110,0,Just renovated,2,1,Brussel,Falnders
11304,20120762,Vorst,Apartment,apartment,Private,440000,2,100,1,0,0,1,10,0,0,110,0,Just renovated,2,1,Antwerpen,Falnders
11305,20120719,Limal,Apartment,apartment-block,Private,625000,4,173,1,0,0,1,30,1,200,403,299,Good,3,1,Waals-Brabant,Wallonia
11306,20120471,Sint-gillis,Apartment,apartment,Private,895000,3,250,1,0,0,1,0,1,380,630,0,As new,2,1,Brussel,Falnders
11307,20120075,Beuzet,House,house,Private,249000,3,159,1,0,0,1,33,0,0,192,153,To be done up,3,0,Namen,Brussel
11308,20119784,Morlanwelz-Mariemont,Other,offices,Private,345000,0,279,0,0,0,0,0,0,0,279,560,Good,2,0,Henegouwen,Falnders
11309,20119642,Ans,House,house,Private,279000,3,122,1,0,0,1,30,1,45,197,100,As new,2,1,Luik,Wallonia
11310,20119628,Modave,House,house,Private,250000,4,130,1,1,0,1,45,0,0,175,240,Just renovated,3,0,Luik,Wallonia
11311,20119334,Glain,Apartment,apartment-block,Private,339000,6,236,1,0,0,0,0,1,750,986,750,Good,4,0,Luik,Wallonia
11312,20119254,Wachtebeke,Apartment,apartment,Private,299000,3,173,1,0,0,1,7,0,0,180,0,Not Known,2,0,Oost-Vlaanderen,Brussel
11313,20119251,Wachtebeke,Apartment,apartment,Private,299000,3,169,1,0,0,1,7,0,0,176,0,Not Known,2,0,Oost-Vlaanderen,Brussel
11314,20119205,Poulseur,House,house,Private,150000,3,104,1,0,0,1,15,1,15,134,193,To be done up,4,1,Luik,Wallonia
11315,20119090,Bressoux,House,house,Private,180000,2,155,1,0,0,1,0,0,0,155,235,Good,3,0,Luik,Wallonia
11316,20119051,Antwerpen,Apartment,apartment,Private,292000,2,87,1,0,0,1,6,0,0,93,0,Good,2,0,Antwerpen,Falnders
11317,20119051,Antwerpen,Apartment,apartment,Private,292000,2,87,1,0,0,1,6,0,0,93,0,Good,2,0,Antwerpen,Falnders
11318,20119051,Antwerpen,Apartment,apartment,Private,292000,2,87,1,0,0,1,6,0,0,93,0,Good,2,0,Antwerpen,Falnders
11319,20119051,Antwerpen,Apartment,apartment,Private,292000,2,87,1,0,0,1,6,0,0,93,0,Good,2,0,Antwerpen,Falnders
11320,20119051,Antwerpen,Apartment,apartment,Private,292000,2,87,1,0,0,1,6,0,0,93,0,Good,2,0,Antwerpen,Falnders
11321,20119051,Antwerpen,Apartment,apartment,Private,292000,2,87,1,0,0,1,6,0,0,93,0,Good,2,0,Antwerpen,Falnders
11322,20119051,Antwerpen,Apartment,apartment,Private,292000,2,87,1,0,0,1,6,0,0,93,0,Good,2,0,Antwerpen,Falnders
11323,20118658,Oostende,Apartment,apartment,Private,195000,1,60,0,0,0,1,3,0,0,63,0,Not Known,0,0,West-Vlaanderen,Wallonia
11324,20118424,Sterrebeek,Apartment,apartment,Private,799000,2,159,0,0,1,1,25,1,60,244,0,As new,4,1,Vlaams-Brabant,Brussel
11325,20118112,Ensival,House,house,Private,220000,3,92,1,0,0,1,6,1,227,325,261,Good,2,1,Luik,Wallonia
11326,20117856,Bure,House,house,Private,269000,4,145,1,0,0,1,30,1,1526,1701,0,To be done up,4,0,Luxemburg,Brussel
11327,20117851,Mechelen,Apartment,flat-studio,Private,169000,1,38,1,0,0,0,0,0,0,38,0,Just renovated,3,0,Antwerpen,Falnders
11328,20117846,Brussel,Apartment,apartment-block,Private,420000,5,280,1,0,0,0,0,0,0,280,106,To renovate,2,1,Brussel,Falnders
11329,20117672,Zelzate,House,house,Private,169000,4,130,0,0,0,1,0,0,0,130,90,To renovate,2,0,Oost-Vlaanderen,Brussel
11330,20117604,Blaasveld,House,villa,Private,459000,3,153,1,0,0,0,0,0,0,153,694,Just renovated,4,0,Antwerpen,Falnders
11331,20117574,Koksijde,House,house,Private,230000,2,52,0,1,0,1,0,0,0,52,186,Not Known,0,0,West-Vlaanderen,Wallonia
11332,20117543,Antwerpen,House,house,Private,279900,4,125,1,0,0,0,0,0,0,125,56,Good,2,0,Antwerpen,Falnders
11333,20117543,Antwerpen,House,house,Private,279900,4,125,1,0,0,0,0,0,0,125,56,Good,2,0,Antwerpen,Falnders
11334,20117543,Antwerpen,House,house,Private,279900,4,125,1,0,0,0,0,0,0,125,56,Good,2,0,Antwerpen,Falnders
11335,20117543,Antwerpen,House,house,Private,279900,4,125,1,0,0,0,0,0,0,125,56,Good,2,0,Antwerpen,Falnders
11336,20117543,Antwerpen,House,house,Private,279900,4,125,1,0,0,0,0,0,0,125,56,Good,2,0,Antwerpen,Falnders
11337,20117543,Antwerpen,House,house,Private,279900,4,125,1,0,0,0,0,0,0,125,56,Good,2,0,Antwerpen,Falnders
11338,20117543,Antwerpen,House,house,Private,279900,4,125,1,0,0,0,0,0,0,125,56,Good,2,0,Antwerpen,Falnders
11339,20117443,Knokke,Apartment,apartment,Private,799000,2,125,1,0,0,1,0,0,0,125,0,Good,2,0,West-Vlaanderen,Wallonia
11340,20117359,Brussel,Apartment,apartment,Private,475000,3,125,1,0,0,1,10,0,0,135,0,Good,2,1,Brussel,Falnders
11341,20117333,Schoten,Apartment,apartment,Private,545000,2,122,1,0,0,1,32,0,0,154,0,Not Known,2,0,Antwerpen,Falnders
11342,20117331,Schoten,Apartment,apartment,Private,475000,2,120,1,0,0,1,22,0,0,142,0,Not Known,2,0,Antwerpen,Falnders
11343,20117326,Schoten,Apartment,apartment,Private,550000,3,141,1,0,0,1,24,0,0,165,0,Not Known,2,0,Antwerpen,Falnders
11344,20117320,Borgerhout,Apartment,apartment,Private,285000,2,106,1,0,0,1,6,0,0,112,0,Good,2,1,Antwerpen,Falnders
11345,20117200,Beveren,Other,offices,Private,175000,0,184,0,0,0,0,0,0,0,184,0,Good,0,0,West-Vlaanderen,Wallonia
11346,20117200,Beveren,Other,offices,Private,175000,0,184,0,0,0,0,0,0,0,184,0,Good,0,0,West-Vlaanderen,Wallonia
11347,20117124,Herstal,House,house,Private,199000,3,145,1,0,0,1,34,1,60,239,205,Good,4,1,Luik,Wallonia
11348,20117096,Antwerpen,House,house,Private,498000,3,150,1,0,0,0,0,0,0,150,46,Good,0,0,Antwerpen,Falnders
11349,20117096,Antwerpen,House,house,Private,498000,3,150,1,0,0,0,0,0,0,150,46,Good,0,0,Antwerpen,Falnders
11350,20117096,Antwerpen,House,house,Private,498000,3,150,1,0,0,0,0,0,0,150,46,Good,0,0,Antwerpen,Falnders
11351,20117096,Antwerpen,House,house,Private,498000,3,150,1,0,0,0,0,0,0,150,46,Good,0,0,Antwerpen,Falnders
11352,20117096,Antwerpen,House,house,Private,498000,3,150,1,0,0,0,0,0,0,150,46,Good,0,0,Antwerpen,Falnders
11353,20117096,Antwerpen,House,house,Private,498000,3,150,1,0,0,0,0,0,0,150,46,Good,0,0,Antwerpen,Falnders
11354,20117096,Antwerpen,House,house,Private,498000,3,150,1,0,0,0,0,0,0,150,46,Good,0,0,Antwerpen,Falnders
11355,20117003,Boncelles,House,house,Private,189000,2,93,1,0,0,1,50,1,282,425,440,As new,3,1,Luik,Wallonia
11356,20116788,Bras,House,mixed-use-building,Private,255000,2,141,0,0,0,0,0,0,0,141,230,Not Known,2,0,Luxemburg,Brussel
11357,20116594,Lessines,House,house,Private,170000,3,150,1,0,0,1,0,0,0,150,400,To renovate,2,0,Henegouwen,Falnders
11358,20116370,Oostende,Apartment,apartment,Private,440000,2,80,0,0,0,1,8,0,0,88,0,Good,4,0,West-Vlaanderen,Wallonia
11359,20116224,Comblain-Fairon,House,house,Private,349000,2,201,0,0,0,0,0,1,1650,1851,1900,To renovate,4,0,Luik,Wallonia
11360,20116192,Elsene,Apartment,flat-studio,Private,165000,0,30,1,0,0,0,0,0,0,30,0,Good,2,1,Brussel,Falnders
11361,20116032,Dergneau,Apartment,ground-floor,Private,220000,2,105,1,0,0,1,12,1,240,357,0,As new,0,1,Henegouwen,Falnders
11362,20115764,Brakel,House,house,Private,149000,3,184,1,0,0,1,0,1,230,414,397,To renovate,2,0,Oost-Vlaanderen,Brussel
11363,20115589,Geraardsbergen,House,house,Private,399000,3,230,1,0,0,1,0,1,330,560,472,As new,3,0,Oost-Vlaanderen,Brussel
11364,20115531,Brasschaat,House,villa,Private,960000,4,318,1,0,1,1,0,1,1166,1484,1166,Just renovated,4,1,Antwerpen,Falnders
11365,20115431,Nieuwpoort,Apartment,apartment,Private,285000,2,66,1,0,0,1,0,0,0,66,0,Good,0,0,West-Vlaanderen,Wallonia
11366,20114807,De Haan,Apartment,apartment,Private,310000,2,75,0,0,0,1,0,0,0,75,0,Good,0,0,West-Vlaanderen,Wallonia
11367,20114684,Erembodegem,House,house,Private,260000,3,172,1,0,0,1,0,0,0,172,0,To be done up,3,0,Oost-Vlaanderen,Brussel
11368,20114554,Harelbeke,House,house,Private,230000,3,167,1,0,0,1,0,1,450,617,533,Good,3,0,West-Vlaanderen,Wallonia
11369,20114534,Herent,House,house,Private,689000,2,390,1,0,0,1,18,1,1324,1732,1478,Good,4,0,Vlaams-Brabant,Brussel
11370,20114046,Oud-turnhout,House,villa,Private,650000,4,430,1,0,0,1,60,0,0,490,2630,Not Known,4,0,Antwerpen,Falnders
11371,20114009,Bressoux,Apartment,apartment,Private,325000,2,135,1,0,0,1,0,0,0,135,0,Just renovated,3,1,Luik,Wallonia
11372,20113778,Beernem,House,house,Private,550000,2,172,0,0,0,1,0,1,200,372,521,Good,0,0,West-Vlaanderen,Wallonia
11373,20113704,Elsene,Other,offices,Private,270000,0,60,0,0,0,0,0,0,0,60,55,As new,2,0,Brussel,Falnders
11374,20113357,Knokke,Apartment,apartment,Private,495000,3,138,1,0,0,1,12,0,0,150,0,Good,2,1,West-Vlaanderen,Wallonia
11375,20113330,Brasschaat,Apartment,ground-floor,Private,375000,3,130,1,0,0,1,10,0,0,140,0,Not Known,2,0,Antwerpen,Falnders
11376,20112972,Ronse,House,house,Private,385000,3,160,0,0,0,1,165,1,100,425,175,As new,2,1,Oost-Vlaanderen,Brussel
11377,20112859,Knokke,Other,covered-parking-space,Private,82500,0,0,0,0,0,0,0,0,0,0,0,Not Known,0,0,West-Vlaanderen,Wallonia
